AP Name,Ethernet MAC Address,BaseRadio MAC Address,IP Address,Controller IP,Map Location,AP Group Name,Operational Status,Admin Status,Maintenance Mode,Client Count,AP Location,AP Model,Software Version,AP Mode,POE Status,AP Serial Number,AP Uptime,Upgrade Group
WAP1865,40:ce:24:a2:bd:0c,18:80:90:4e:ee:c0,fda7:6daa:70e8:4508:42ce:24ff:fea2:bd0c,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3702I-B-K9,8.5.131.0,Local,Normal,FCW2122J3SP,197 d 21 h 53 m 7 s, 
WAP1866,18:80:90:2e:86:d4,18:80:90:68:39:10,fda7:6daa:70e8:4508:1a80:90ff:fe2e:86d4,172.16.108.162,Unassigned,CWI-Dorm-Comm,Registered,ENABLE,No,2,default location,AIR-CAP3702I-B-K9,8.5.131.0,Local,Normal,FCW2122J3UB,198 d 3 h 7 m 44 s, 
WAP1867,5c:83:8f:61:8c:2c,5c:83:8f:7e:86:60,fda7:6daa:70e8:4523:5e83:8fff:fe61:8c2c,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,7,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1930NQ8R,32 d 9 h 44 m 6 s, 
WAP1868,5c:83:8f:60:07:80,5c:83:8f:79:19:10,fda7:6daa:70e8:4523:5e83:8fff:fe60:0780,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,5,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1930NPX2,32 d 9 h 43 m 40 s, 
WAP1869,5c:83:8f:60:01:54,5c:83:8f:79:00:a0,fda7:6daa:70e8:4523:5e83:8fff:fe60:0154,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1930NP0Y,32 d 9 h 43 m 40 s, 
WAP1870,5c:83:8f:5b:8b:44,5c:83:8f:79:7a:80,fda7:6daa:70e8:4523:5e83:8fff:fe5b:8b44,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1930NQ8M,32 d 9 h 39 m 41 s, 
WAP1871,5c:83:8f:5b:8b:54,5c:83:8f:79:7a:f0,fda7:6daa:70e8:4523:5e83:8fff:fe5b:8b54,172.16.108.162,Unassigned,CWI-East,Registered,ENABLE,No,5,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1930NQ5X,32 d 9 h 33 m 38 s, 
WAP1872,d8:67:d9:bc:f5:9b,10:bd:18:5f:ad:20,fda7:6daa:70e8:4507:da67:d9ff:febc:f59b,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GL6D,2 d 11 h 46 m 27 s, 
WAP1873,a4:93:4c:c1:35:2f,10:bd:18:c6:69:00,fda7:6daa:70e8:4507:a693:4cff:fec1:352f,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GL8V,2 d 11 h 44 m 56 s, 
WAP1874,a4:93:4c:c1:35:2e,10:bd:18:c6:68:f0,fda7:6daa:70e8:4507:a693:4cff:fec1:352e,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GL96,2 d 11 h 46 m 3 s, 
WAP1875,a4:93:4c:b2:65:c3,18:33:9d:f1:d4:50,fda7:6daa:70e8:4507:a693:4cff:feb2:65c3,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GKS3,198 d 21 h 49 m 55 s, 
WAP1876,44:03:a7:40:cb:72,04:da:d2:91:f7:30,fda7:6daa:70e8:4505:4603:a7ff:fe40:cb72,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1712GHAH,177 d 15 h 6 m 47 s, 
WAP1877,c0:67:af:5b:16:9c,c0:25:5c:48:4c:b0,fda7:6daa:70e8:4512:c267:afff:fe5b:169c,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1743R081,101 d 21 h 56 m 19 s, 
WAP1878,bc:16:65:66:a8:32,f4:1f:c2:fa:69:00,fda7:6daa:70e8:4504:be16:65ff:fe66:a832,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1720GMQ1,198 d 12 h 34 m 44 s, 
WAP1879,bc:16:65:66:a7:f6,f4:1f:c2:fa:65:40,fda7:6daa:70e8:4504:be16:65ff:fe66:a7f6,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,5,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1720GMPM,198 d 9 h 44 m 29 s, 
WAP1880,bc:16:65:16:7b:a2,f4:1f:c2:98:eb:d0,fda7:6daa:70e8:4504:be16:65ff:fe16:7ba2,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1720GMQ9,198 d 5 h 17 m 51 s, 
WAP1881,24:e9:b3:26:8a:70,1c:1d:86:ee:a9:30,10.253.47.232,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1810GKP3,168 d 16 h 10 m 16 s, 
WAP1882,88:5a:92:88:e7:12,18:9c:5d:d5:be:f0,10.253.47.199,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1803GHSU,168 d 20 h 11 m 56 s, 
WAP1883,a8:0c:0d:9d:1b:14,1c:1d:86:fd:95:20,10.253.47.195,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1810GKPA,168 d 20 h 15 m 15 s, 
WAP1884,c0:67:af:28:ca:cc,e8:ed:f3:59:50:d0,10.253.47.193,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1742GJLA,168 d 14 h 12 m 51 s, 
WAP1885,88:5a:92:88:e6:0a,18:9c:5d:d5:ad:c0,10.253.47.220,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,1,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1803GHSZ,195 d 15 h 23 m 42 s, 
WAP1886,c0:67:af:d4:81:57,c0:25:5c:48:d8:20,fda7:6daa:70e8:4513:c267:afff:fed4:8157,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1743R05C,198 d 22 h 52 m 5 s, 
WAP1887,d8:67:d9:bc:ef:d5,10:bd:18:5f:4f:90,fda7:6daa:70e8:4513:da67:d9ff:febc:efd5,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GKT4,198 d 21 h 52 m 25 s, 
WAP1888,7c:ad:74:fb:f0:71,44:ad:d9:8e:ee:90,fda7:6daa:70e8:4513:7ead:74ff:fefb:f071,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1722GHFJ,198 d 21 h 43 m 58 s, 
WAP1889,f8:72:ea:cf:ff:a1,0c:68:03:85:36:70,fda7:6daa:70e8:4513:fa72:eaff:fecf:ffa1,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,1,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1729GNFH,198 d 22 h 37 m 35 s, 
WAP1890,d8:67:d9:bc:f4:77,10:bd:18:5f:9a:70,fda7:6daa:70e8:4513:da67:d9ff:febc:f477,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GL4J,198 d 15 h 43 m 35 s, 
WAP1891,d8:67:d9:bc:eb:92,10:bd:18:5f:0b:b0,fda7:6daa:70e8:4513:da67:d9ff:febc:eb92,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GKWC,198 d 19 h 17 m 35 s, 
WAP1892,6c:41:6a:a3:86:48,0c:68:03:84:00:90,fda7:6daa:70e8:4513:6e41:6aff:fea3:8648,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1729R319,198 d 21 h 19 m 4 s, 
WAP1893,bc:16:65:bd:8d:92,f4:1f:c2:8b:0c:a0,fda7:6daa:70e8:4513:be16:65ff:febd:8d92,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1719R3BA,198 d 22 h 21 m 36 s, 
WAP1894,bc:16:65:bd:8d:21,f4:1f:c2:8b:05:70,fda7:6daa:70e8:4513:be16:65ff:febd:8d21,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,5,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1719GPNN,198 d 18 h 40 m 3 s, 
WAP1895,bc:16:65:bd:8d:0e,f4:1f:c2:8b:04:20,fda7:6daa:70e8:4513:be16:65ff:febd:8d0e,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1719GPNP,198 d 22 h 22 m 15 s, 
WAP1896,60:73:5c:89:42:bc,88:75:56:af:75:60,fda7:6daa:70e8:4513:6273:5cff:fe89:42bc,172.16.108.162,Unassigned,default-group,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634GS7H,198 d 8 h 50 m 41 s, 
WAP1897,60:73:5c:89:40:eb,88:75:56:af:58:70,fda7:6daa:70e8:4513:6273:5cff:fe89:40eb,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634GS71,198 d 17 h 40 m 37 s, 
WAP1898,a4:93:4c:c1:36:67,10:bd:18:c6:7c:c0,fda7:6daa:70e8:4513:a693:4cff:fec1:3667,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GL4Q,198 d 22 h 6 m 21 s, 
WAP1899,a4:93:4c:b2:6b:a0,10:bd:18:f0:32:10,fda7:6daa:70e8:4513:a693:4cff:feb2:6ba0,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GL4D,50 d 23 h 51 m 51 s, 
WAP1900,a4:93:4c:b2:6a:71,10:bd:18:f0:1f:30,fda7:6daa:70e8:4513:a693:4cff:feb2:6a71,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,1,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1626GLEL,50 d 23 h 58 m 55 s, 
